Province,Author,Sample,Unique_Id,Flow,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,P,T
Harrat_Rahat,Stelten_2018,R16MS103,Medinah,,0.15,0,Stratigraphic,24.2253054,39.81861008,46.86,2.8,16.59,12.71,9.59,6.22,0.21,0.77,3.65,0.59,,0,,26.85,,248,70,,60,66,94,20,5.96,537.52,29.82,204.11,19.04,,0.05,141.49,19.94,47.04,6.44,28.03,6.68,2.43,6.79,1.09,6.28,1.21,3.1,0.41,2.42,0.36,4.52,1.28,,1.37,1.28,0.33,,,,,,,
Harrat_Rahat,Moufti_2013,RM-101,Medinah,,0.05,0.04,Ar-Ar,39.78002833,24.248665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrat_Rahat,Moufti_2013,RM-119,Medinah,,0.16,0.12,Ar-Ar,39.96145167,24.34089167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrat_Rahat,Moufti_2013,RM-77,Medinah,,0.27,0.06,Ar-Ar,39.63248167,24.350345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrat_Rahat,Moufti_2013,RM-83,Medinah,,0.053,0.025,Ar-Ar,39.66490167,24.25218167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrat_Rahat,Moufti_2013,RM-86,Medinah,,0.053,0.025,Ar-Ar,39.66490167,24.25218167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrat_Rahat,Moufti_2013,RM-97,Medinah,,0.22,0.03,Ar-Ar,39.84318167,24.26960833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrat_Rahat,Moufti_2013,RM-100,Medinah,,0.11,0.04,Ar-Ar,39.79636667,24.23825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrat_Rahat,Moufti_2013,RM-104,Medinah,,0.11,0.02,Ar-Ar,39.87312,24.18549833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrat_Rahat,Moufti_2013,RM-68,Medinah,,0.32,0.13,Ar-Ar,39.89839833,24.280435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrat_Rahat,Moufti_2013,RM-70,Medinah,,0.42,0.1,Ar-Ar,39.92557167,24.29268167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
