Area,Province,Author,Sample,Unique_Id,Flow,RockType,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longitude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb
1,EPRR26,REYNOLDS/2000,WASVNTR-2-007-003,,,,,DCP,,,GL,12.192,-103.885,49.26,1.54,14.77,9.54,12.01,7.94,0.18,0.17,2.8,0.17,,,,40.7,,288,313,,89,72,75,,,156,30.9,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,REYNOLDS/2000,WASVNTR-2-R044,,,,,DCP,,,GL,12.297,-103.872,50.84,1.93,13.71,11.75,11.17,6.9,0.22,0.12,2.77,0.21,,,,,,,,,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,REYNOLDS/2000,WASVNTR-2-R144,,,,,DCP,,,GL,12.073,-103.88,50.65,1.97,13.75,12.02,11.09,6.77,0.22,0.12,2.84,0.2,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,REYNOLDS/2000,WASVNTR-2-R046,,,,,DCP,,,GL,12.297,-103.85,50.73,1.97,13.84,11.73,11.09,6.93,0.21,0.14,2.74,0.21,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,REYNOLDS/2000,WASVNTR-2-006,,,,,DCP,,,GL,12.08,-103.849,51.01,2,13.64,11.76,11.16,6.89,0.21,0.12,2.65,0.19,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,REYNOLDS/2000,WASVNTR-2-R152,,,,,DCP,,,GL,12.318,-103.885,50.7,2.01,13.87,11.91,11.06,6.62,0.21,0.12,2.9,0.22,,,,,,,,,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,REYNOLDS/2000,WASVNTR-2-016,,,,,DCP,,,GL,12.142,-103.813,50.55,1.49,14.32,10.81,11.78,7.74,0.2,0.09,2.51,0.18,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,REYNOLDS/2000,WASVNTR-2-008-B,,,,,DCP,,,GL,12.112,-103.849,50.61,1.36,14.65,9.89,12.14,8.15,0.2,0.07,2.47,0.16,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,REYNOLDS/2000,WASVNTR-2-008-A,,,,,DCP,,,GL,12.112,-103.849,50.7,1.63,14.31,10.68,11.69,7.37,0.2,0.09,2.81,0.19,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,REYNOLDS/2000,WASVNTR-2-R145,,,,,DCP,,,GL,12.098,-103.874,50.93,1.69,13.85,11.01,11.76,7.32,0.2,0.12,2.55,0.19,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,REYNOLDS/2000,WASVNTR-2-010-006,,,,,DCP,,,GL,12.17,-103.85,50.8,1.52,14.03,10.45,12.11,7.87,0.19,0.06,2.55,0.13,,,,42.9,,320,215,,77,76,87,,,104,33.4,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,REYNOLDS/2000,WASVNTR-2-016-001,,,,,DCP,,,GL,12.142,-103.813,50.93,1.52,14.14,10.49,11.89,7.76,0.19,0.07,2.57,0.13,,,,41.8,,326,221,,79,72,79,,,103,34.2,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,REYNOLDS/2000,WASVNTR-2-R053,,,,,DCP,,,GL,12.084,-103.808,50.83,1.56,14.17,10.9,11.57,7.48,0.19,0.09,2.72,0.15,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,REYNOLDS/2000,WASVNTR-2-027-C,,,,,DCP,,,GL,12.095,-103.803,50.5,1.38,14.88,9.71,12.14,8.1,0.19,0.08,2.52,0.19,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
